paper,date,issn,textid,lbl,no,url
Lappeenrannan Uutiset,,1458-2317,,(Läh.) Valitusvirsi Adamille. Tammikuun 25 p:nä 1887. Se on kunto kummallinen Yksi yhdeksästä,8,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44663
Lappeenrannan Uutiset,,1458-2317,,(Läh.) Ylistysruno maskisvirren laulajalle 18 2/1 87. Laulun laittoi tuo mokoma Leimu,6,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44891
Lappeenrannan Uutiset,,1458-2317,,"Ankaran talven mentyä, Kevään tultua. Nyt talvi taas on mennyt J-n.",39,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=65744
Lappeenrannan Uutiset,,1458-2317,,"Illukka. I.: Oma katumukseni. 18 6/VIII 89. Oi mua polonen, oivoivoi",61,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=66141
Lappeenrannan Uutiset,,1458-2317,,Joutsenosta. Eipä ole ennen kuultu A. Kou,22,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45137
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: (Suomenniemeltä. Maamiehen talvilaulu Suloinen on Suomen maa )",101,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44902
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Kynähän kykenevämpi",6,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45240
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Maamiehen kesälaulu tehty 1875. Tutki aina Luojan töitä",58,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44860
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Oi Suomi, sulo sorrettu",67,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44859
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhun kirje Suomenniemeltä. Suomalaisen sukkeluuden",60,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=98034
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhunkirje Suomenniemeltä 18 26/III 89. Toinen runo. Minä ihan ensimäisen",26,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=16322
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhunkirje Suomenniemeltä 18 27/III 89. Kotiolosta. Ikävästä ilta- silla, omasta kokemuksesta koonnut 1866. Ah voi kuinka kauheasti",27,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=66137
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Karhunkirje Suomenniemeltä. Mistäs tiedät milloin kuolet (Runo)",101,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=9175
Lappeenrannan Uutiset,,1458-2317,,"Karhu, Antti: Uuden vuoden laulu. Nyt uusi vuosi alkaapi",1,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44866
Lappeenrannan Uutiset,,1458-2317,,Karhun kirje Suomenniemeltä 18 9/III 89. Ensim. runo kirj. Antti Karhu. Tass on veisu veikkosille,21,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44912
Lappeenrannan Uutiset,,1458-2317,,Kesän enteinä. Talvi on jo kadonnut -en-,41,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45207
Lappeenrannan Uutiset,,1458-2317,,"Kevätruno Suomen laulujuhlaan Viipurissa 18 p. kesäk. 1889. Valon, päivän pojan, sydämessä",47,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44861
Lappeenrannan Uutiset,,1458-2317,,Koston huutaja. Mä kyynelten vieriessä A.J.S:n,34,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123115
Lappeenrannan Uutiset,,1458-2317,,"Kou, A.: Joutseno. Vastine Matt Lapseen runokirjoitukselle, joka oli L. Uutis- ten 39 n:rossa. Vielä vähän vastinetta",48,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45156
Lappeenrannan Uutiset,,1458-2317,,Kyntömiehen mietteitä. Kyntömiesi mietiskelee Kyntömies,99,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44878
Lappeenrannan Uutiset,,1458-2317,,Lappeenrannan pakinan johdosta 1 p. Huhtik. 1887. Suotava olisi vainen Yskä,27,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=16832
Lappeenrannan Uutiset,,1458-2317,,"Laps, Matt: Joutsenosta. Ain on kaupaksi kalua",39,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44895
Lappeenrannan Uutiset,,1458-2317,,Laulu Suomesta. Virran kauniin vierteimillä Putro,55,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=67335
Lappeenrannan Uutiset,,1458-2317,,"Mäki, Pekka: Mieli ois mullakin puhua. Mieli ois mullakin puhella",16,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45057
Lappeenrannan Uutiset,,1458-2317,,Paja. (Suomennos.) Mä tiedän pikku pajan,31,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=16495
Lappeenrannan Uutiset,,1458-2317,,Pakkanen. Maine paha pakkasella A-n.,27,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44652
Lappeenrannan Uutiset,,1458-2317,,Prof. J. Krohnin kuoleman johdosta sisältää Olewik seuraavan runon: Surmasönum. Ranna linnuke,78,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45198
Lappeenrannan Uutiset,,1458-2317,,Pyhä-illan vietto. P. Johanneksen p. kirkonkylässä 18 27/1 89. Oli ilta oivalli- nen Kirkonmäen Antti,23,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=66135
Lappeenrannan Uutiset,,1458-2317,,Runo Itä-karjalan kansan edistynnästä. Kyllähän ois kynällä syytä Putro,83,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123146
Lappeenrannan Uutiset,,1458-2317,,Runo pakkasesta. Pakkanen puhurin poika Kyntömies II,22,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44640
Lappeenrannan Uutiset,,1458-2317,,Runo. Johanneksen Ylämaan kansakouluhommasta. Ylämaan ylevät ukot Kyntömies II,25,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44865
Lappeenrannan Uutiset,,1458-2317,,Suomenniemen kansakoulun avajaisissa. Runoillut Iida Lyytikäinen. Jo tiedon päivä koittavi,138,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=45192
Lappeenrannan Uutiset,,1458-2317,,Syksymuistelmia. Pois kesä kaunis kulunut J.M.,75,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=59294
Lappeenrannan Uutiset,,1458-2317,,Talvi-illalla. Hiljainen on talvi-ilta E.K.,29,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=44863
Vaasan Sanomat,,1458-8684,,(Runo lausuttu kansakouluopettajain kokouksessa Jyväskylässä) Hyväst hetki lä- hestyi meitä,25,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=457402
Vaasan Sanomat,,1458-8684,,(Waasan lyseoon lahjoitettu vanha arkkiveisu Oravaisten tappelusta.) Minä tah- doisin tärkijä laulaa,38,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=457575
Vaasan Sanomat,,1458-8684,,"Tuokko: H.M. Keisari-Suuriruhtinas Aleksander II:selle. Maaliskuun 2 p:nä 1880. (Mukaelma.) Laulettu riemujuhlassa Jyväskylässä.) Nyt töistäs, jalo Ruhti- nas",12,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=457165
Ahti,,1458-0500,,Henkeni ja minä. Kun pintaa veden katselen H.,19,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425735
Ahti,,1458-0500,,Kalastajan tyttäret. Ol lahden luona mökkinen,11,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425732
Ahti,,1458-0500,,Kesän tullessa. Jopa vaippa valkeainen,7,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122819
Ahti,,1458-0500,,Luonnon ääni. Huminassa hongiston H.,26,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425698
Ahti,,1458-0500,,Neitosille. Aina akat pahat kuret H.,20,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425733
Ahti,,1458-0500,,Peräseinäjoelta. (Runo toimeentulosta ja lukuhalusta: Ota Ahti armahainen Siir- tolainen,13,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425704
Ahti,,1458-0500,,Suonio: Tampereen kaupungin satavuotiseksi juhlaksi. Emonen Satakunta,41,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425691
Ahti,,1458-0500,,Suuriruhtinaan kunniaksi. (Lausuttu Aleks. II riemujuhlassa Jalasjärvellä maalisk. 2. p.) Ken ei riemun tuntehilla Immy H-en.,25,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=40915
Ahti,,1458-0500,,Tuutulaulu. Tuuli tuudittaapi puita,17,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425707
Ahti,,1458-0500,,Uudenvuoden aamuna. Jo hämärästä näkyy kajastus,1,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425587
Ahti,,1458-0500,,Virkamiehemme. Ol meillä virkamiesi,17,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425593
Ahti,,1458-0500,,Järven kivi. Nyt päiväpaiste sulleki,1,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=41008
Ahti,,1458-0500,,"Kumpi onneton? No, kumpi muist. on onneton",4,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=425726
Kotkan Sanomat,,1458-2252,,(Läh.) Kotkain sanomain synty. Eipä liene liikanainen P.,11,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122983
Kotkan Sanomat,,1458-2252,,Heinäkuun 30 päivä 1887. Onko ilman vesivaunut E.K.S.,31,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123079
Kotkan Sanomat,,1458-2252,,Huhtikuun 1 päivänä. Päivät pitkiksi pitenee E.K.S.,14,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=40102
Kotkan Sanomat,,1458-2252,,Kesä-laulu. Nyt luonto ompi kauniissa E.K.S.,27,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=451270
Kotkan Sanomat,,1458-2252,,"Tupakista. (Historiiki. Tupakan ainekset. Paavo Korhosen runo tupakasta:) Kuule ensin, katso siitä (jatk.)",21,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=451251
Sanan-Lennätin,,1457-4608,,(Kiihtelysvaaralta lähet.) Wuoden huonoudesta. Surun ääni Suomessa nyt J.K.,16,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=473760
Sanan-Lennätin,,1457-4608,,(Lähet.) Hempeän tytön laulu. Minä olen nätti tyttö,23,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=473543
Sanan-Lennätin,,1457-4608,,(Lähet.) Laulu. Seitsemänsataiselle jupeli-juhlalle Suomessa 1857. Seitsemän-sataa vuotta P.M-a.,28,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=472358
Sanan-Lennätin,,1457-4608,,(Lähet.) Merimiehen morsiamen Laulu Soisin sulhoni tulevan P.M-a.,25,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=474726
Sanan-Lennätin,,1457-4608,,(Lähet.) Syys-Runo. Jo on Luoja jouduttanut P.M-a.,42,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=474690
Sanan-Lennätin,,1457-4608,,(Lähet.) Talonpojan laulu. Talonpoika oivallinen P.M-a.,11,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=472889
Sanan-Lennätin,,1457-4608,,Köyhäin-Wirsi. (Weisataan kuin n:o 47. Nordlundin Koraalikirjassa.) Mull ei oo maita mantuja L. (Oksasen suomentama.),00,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=472713
Sanan-Lennätin,,1457-4608,,Köyhän oppilaan valitus-runo. (Lähdetetty.) Ompa kyllin kyynäleitä P.M-a.,48,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=474757
Sanan-Lennätin,,1457-4608,,"Léman, J.: (Lähet.) 1856 vuotisen hallan kautta hätäyntyneille. Jospa laulu laadullinen",6,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=472051
Sanan-Lennätin,,1457-4608,,Muutama muistutus eräälle Lennättimen n:ssa 46 löytyvälle runolle meidän meinatusta mestarista. (Annettu.) Kyll on meillä mesta- reita,51,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=474021
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,(Läh.) Oikein ilostani ilmoitan O.J.E.,43,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122668
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,(Lähetetty.) Autuus Jesuksessa. Veisataan kuin: Iloitse sielun Her- rassa 1. Mun ystäväni minun on.,27,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122529
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"(Lähetetty.) Jesuksen rakkauden ylistys. Taitaan veisata kuin: Koko mailma iloit mahtaa. l. Ystäväni, veisatkaamme. E.L.",10,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122533
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Armon Ylistys. (Suomentama.) Joll äänemme Outo.,32,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122526
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"Evangeliumin suloinen sanoma salattu suurilta, ilmoitettu pienille. (Sävel: Arvon mekin ansaitsemme j.n.e.) 1. v. Koska Kristus kaukaisilla K.J.N.",41,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122522
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"Hedberg, Fredrik Gabriel: Weisatkaat Herralle uusi veisu!",52,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122556
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"Hei, kristityt jo herätkää! (runo)",39,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122521
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Herran Liitto eipä liiku! Tuskass tuimimmassa Sinä,51,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122573
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Iloitkaamme Jesuksess,53,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122557
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"Katso, Ylkä tulee",53,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122557
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Kiitos Karitsalle. Kiitos kauniille Karitsalle,35,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122555
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Nyt on aika unesta nousta,1,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122552
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Nyt seurakunnan sulhaisell,52,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122556
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"Runo.) Suret suotta, sieluni (Mukailu A.K--nin mukaan.",33,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122586
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Ruoki minun Karitsojani !,4,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122571
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"Selityksiä Davidin Psalmeista Lukiolleni, 1. Psalmi, 1. Autuas se mies",9,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122773
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Sionin matkustajan rukous ja kiitos. (Kirjoitti Elis. R-n.) Herra Jesu minua auta,20,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122593
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Suomentama. (Runo.) Nyt kaikin kiittäkää R-s.,17,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122572
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Tietysti teet sinä niin (Orpolapsen rukous),35,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122796
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,"Uskossa eläneen ja kuolleen hautakirjoitus. Uskossa hän, Jesuksessa -a-d.",10,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122525
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Weisu Ylimmäisestä Papistamme. Korkeijmassa Kuorissa,29,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122553
Kristillisiä sanomia : hengellinen ja kirkollinen viikkolehti,,fk00994,,Älä väsy vaivoissa,31,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=122554
Lounas,,1458-2341,,(Porin työväenyhdistyksen iltamassa luettu hra P. Halmisen runo:) Voiko pienet iltahuvit,72,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123149
Lounas,,1458-2341,,"Akselille. Maalisk. 23 p. 1890. Sä vielä muistatko keväimen, kun ensin hilpeellä miellä Helmi",23,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123182
Lounas,,1458-2341,,Amandalle. Sä oot kuni kaino kukka,86,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123185
Lounas,,1458-2341,,Auringon laskiessa. Kuin ihanainen ilta on Helmi,53,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=22578
Lounas,,1458-2341,,Enkelin kasvot. Aatokseni usein aamusella Helmi,35,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=61156
Lounas,,1458-2341,,Fannylle. Nimip. 18 2/3 89. Fanny! Saako kajahdella Helmi,18,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123147
Lounas,,1458-2341,,Hyvästi. Hyvästi! Niin meidän erotessa Helmi,10,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=86391
Lounas,,1458-2341,,Hyvää uutta vuotta! Hyvää uutta vuotta! - Hiljallensa Helmi,104,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=102340
Lounas,,1458-2341,,Joulu metsän mökissä. Aamulla armaan lapsuuden F.L-n,99,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=18934
Lounas,,1458-2341,,Jouluna. Aamu armas alkajaapi Helmi,101,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=25775
Lounas,,1458-2341,,Joutuessa illan. Joutuessa illan armahan Helmi,73,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=94918
Lounas,,1458-2341,,Julius Krohn. Suoniomme ompi poissa Kaarlo -n.,77,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=7884
Lounas,,1458-2341,,"Kesällä. Kuin armahien ystävän silmä, tuo Helmi",39,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=89331
Lounas,,1458-2341,,Kesäyö meren rannalla. Pientä polkua mie metsässä Helmi,61,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=118795
Lounas,,1458-2341,,Kevään tullen. Pois talven vaippa hälvennyt Anna -n.,34,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=22585
Lounas,,1458-2341,,Kiitosruno ruhtinaalle. Armollinen keisarimme -n-l-n.,40,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=114822
Lounas,,1458-2341,,"Konsa siipyet saan. Ilta joutuvi, hämäräinen Helmi",102,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=102238
Lounas,,1458-2341,,Koski yöllä. Päivä laski purpuroihin Paul H.,31,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=113122
Lounas,,1458-2341,,Kuulles. Sä tarkastelet taivahalta Helmi,12,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=50745
Lounas,,1458-2341,,Käy kanssain kerran viel! Tahtoisin yhden kerran vielä Helmi,67,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123148
Lounas,,1458-2341,,"Laine, J.: Kasvattajain työ. (Porin läänin opettajain kokouksessa Porissa 28/9 88) Kuin kallis on se kutsumus",77,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=7884
Lounas,,1458-2341,,Lapsen silmä. Tahtoisitko sä nähdä vilauksen Helmi,48,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=86888
Lounas,,1458-2341,,Luonnon herätessä. Luonto elämää jo uutta Kaarlo -n.,44,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=118534
Lounas,,1458-2341,,Maa isien. Suomi suloinen,8,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=50732
Lounas,,1458-2341,,Merimies. Hän oli nuori uljas mies Helmi,22,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=10804
Lounas,,1458-2341,,Minkätähden. Marian Lemmitty silmä! Miksi sun kyynelet täytti Helmi,29,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=91857
Lounas,,1458-2341,,"Mistä Suomi leivän saa, kun on kylmä koko maa? (Suoviljelyksestä.)",67,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=13949
Lounas,,1458-2341,,"Muistovärsyjä. Moni, moni Järveliini",102,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=73801
Lounas,,1458-2341,,Neiti Betty Sten-sille. Tänään teillä uudistuu Helmi,32,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=105048
Lounas,,1458-2341,,Neuvoksen Ella. Murhemielin mietiskelen U.,12,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=42848
Lounas,,1458-2341,,Nuoren miehen laulu. Nuoren miehen elämä Järveliini,104,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=102340
Lounas,,1458-2341,,"Oi kannel, kaikuos! Oi kannel, kaikuos, kun päivän koi Helmi",95,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123186
Lounas,,1458-2341,,"Oi, hymyä siis! Sä laske, lapseni pienyt povelleni pääsi nyt Helmi",90,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=28873
Lounas,,1458-2341,,Oksasen muistolle. Aamuruskon koittaessa Paul H.,99,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=3349
Lounas,,1458-2341,,Onnettomasta rakkaudesta. Se oli yksi kesä-ilta Järveliini,6,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=93018
Lounas,,1458-2341,,Paimen. Synkkä pilvi alkaa nousta,76,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=55968
Lounas,,1458-2341,,Porin rautatie. Kun tiede liittyy taiteeseen Paavo H.,87,http://digi.lib.helsinki.fi/sanomalehti/secure/showPage.html?conversationId=1&action=entryPage&id=123152
